patient,task,variant,N,N_effective,median_rank,mean_rank,mean_percentile,median_percentile,MedR,MRR,top1,top5,top10,top50,top100,n_trials,n_excluded,N_gallery,chance_top1,chance_top5,chance_top10,chance_top50,chance_top100,chance_median_percentile
KAW,auditory_naming,raw,1000,1000,83.0,136.95,0.13695,0.083,83.0,0.056100989874564224,0.025,0.041666666666666664,0.11666666666666667,0.39166666666666666,0.6,120,0,1000,0.001,0.005,0.01,0.05,0.1,0.5
LH,auditory_naming,raw,1000,1000,72.0,133.90419161676647,0.13390419161676645,0.072,72.0,0.06897406361117216,0.017964071856287425,0.10179640718562874,0.16167664670658682,0.4431137724550898,0.6287425149700598,167,9,1000,0.001,0.005,0.01,0.05,0.1,0.5
RB,auditory_naming,raw,1000,1000,105.5,228.16438356164383,0.2281643835616438,0.1055,105.5,0.055376054943429655,0.0273972602739726,0.04794520547945205,0.1232876712328767,0.3150684931506849,0.4794520547945205,146,18,1000,0.001,0.005,0.01,0.05,0.1,0.5
WBH,auditory_naming,raw,1000,1000,61.0,112.32882882882883,0.11232882882882882,0.061,61.0,0.055699373775513095,0.013513513513513514,0.06756756756756757,0.12162162162162163,0.45045045045045046,0.6756756756756757,222,47,1000,0.001,0.005,0.01,0.05,0.1,0.5
AA,auditory_naming,raw,2000,2000,70.0,207.2549019607843,0.10362745098039214,0.035,70.0,0.11489408362409417,0.058823529411764705,0.19607843137254902,0.23529411764705882,0.43137254901960786,0.5686274509803921,51,2,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
AZ,auditory_naming,raw,2000,2000,106.0,212.57894736842104,0.10628947368421054,0.053,106.0,0.0777463119391892,0.042105263157894736,0.10526315789473684,0.11578947368421053,0.3368421052631579,0.4842105263157895,95,9,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
CP,auditory_naming,raw,2000,2000,162.0,356.7767857142857,0.17838839285714286,0.081,162.0,0.05374079207844933,0.017857142857142856,0.08035714285714286,0.10714285714285714,0.30357142857142855,0.39285714285714285,112,24,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
DR,auditory_naming,raw,2000,2000,72.0,146.0,0.07300000000000001,0.036,72.0,0.05458074072265994,0.0,0.08888888888888889,0.17777777777777778,0.4,0.5555555555555556,45,6,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
KAW,auditory_naming,raw,2000,2000,131.5,240.275,0.1201375,0.06575,131.5,0.049999173053318274,0.025,0.041666666666666664,0.08333333333333333,0.325,0.44166666666666665,120,0,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
LH,auditory_naming,raw,2000,2000,106.0,240.06586826347305,0.12003293413173655,0.053,106.0,0.06466573634363854,0.017964071856287425,0.08982035928143713,0.16167664670658682,0.3712574850299401,0.49101796407185627,167,9,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
RB,auditory_naming,raw,2000,2000,160.5,379.7191780821918,0.18985958904109593,0.08025,160.5,0.049423053008168315,0.02054794520547945,0.06164383561643835,0.10273972602739725,0.2534246575342466,0.3767123287671233,146,18,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
WBH,auditory_naming,raw,2000,2000,81.0,206.7882882882883,0.10339414414414415,0.0405,81.0,0.04850920268958717,0.009009009009009009,0.07207207207207207,0.11261261261261261,0.36486486486486486,0.5495495495495496,222,47,2000,0.0005,0.0025,0.005,0.025,0.05,0.5
AA,auditory_naming,raw,5000,5000,133.0,418.45098039215685,0.08369019607843138,0.0266,133.0,0.10759030869419046,0.058823529411764705,0.13725490196078433,0.21568627450980393,0.39215686274509803,0.43137254901960786,51,2,5000,0.0002,0.001,0.002,0.01,0.02,0.5
AZ,auditory_naming,raw,5000,5000,164.0,469.29473684210524,0.09385894736842106,0.0328,164.0,0.0683695327247372,0.031578947368421054,0.10526315789473684,0.1368421052631579,0.2631578947368421,0.37894736842105264,95,9,5000,0.0002,0.001,0.002,0.01,0.02,0.5
CP,auditory_naming,raw,5000,5000,357.0,803.3214285714286,0.1606642857142857,0.0714,357.0,0.03392859785451671,0.008928571428571428,0.044642857142857144,0.07142857142857142,0.1875,0.25,112,24,5000,0.0002,0.001,0.002,0.01,0.02,0.5
